format_name,width_mm,height_mm,width_inches,height_inches,aspect_ratio,country,category,description,common_use
A4 ISO,210,297,8.3,11.7,1:1.414,China,Standard,International A4 size,Office documents
A3 ISO,297,420,11.7,16.5,1:1.414,China,Standard,ISO A3 size,Large documents
16K (Chinese),189,262,7.44,10.31,189:262,China,Standard,Traditional Chinese paper size,Office documents
8K (Chinese),267,389,10.51,15.31,267:389,China,Standard,Larger Chinese format,Large documents
32K (Chinese),130,184,5.12,7.24,130:184,China,Small,Smaller Chinese format,Small documents
Leaflet,210,297,8.3,11.7,1:1.414,China,Marketing,Brochure size,Promotional materials
Business Card Chinese,90,50,3.54,1.97,90:50,China,Card,Standard business card,Business cards
Envelope DL,110,220,4.3,8.7,110:220,China,Envelope,Standard envelope,Business mail
Envelope #10,104.78,241.3,4.125,9.5,4.125:9.5,China,Envelope,Large envelope,Business correspondence
Contract Size,210,297,8.3,11.7,1:1.414,China,Legal,Standard contract format,Contracts, legal documents
Invoice Size,190,270,7.48,10.63,190:270,China,Form,Invoice format,Invoices, receipts
Receipt Size,75,190,2.95,7.48,75:190,China,Form,Receipt format,Receipts, tickets
