format_name,width_mm,height_mm,depth_mm,width_inches,height_inches,depth_inches,country,category,description,common_use
Box Small,100,100,100,3.94,3.94,3.94,International,Box,Small cube box,Small products
Box Medium,150,150,150,5.91,5.91,5.91,International,Box,Medium cube box,Medium products
Box Large,200,200,200,7.87,7.87,7.87,International,Box,Large cube box,Large products
Mailer Box 6x6x6,152,152,152,6,6,6,International,Box,Small mailer box,Shipping boxes
Mailer Box 8x8x8,203,203,203,8,8,8,International,Box,Medium mailer box,Medium shipments
Mailer Box 10x10x10,254,254,254,10,10,10,International,Box,Large mailer box,Large shipments
Mailer Box 12x9x6,305,229,152,12,9,6,International,Box,Rectangular mailer,Flat items
Mailer Box 14x11x7,356,279,178,14,11,7,International,Box,Large rectangular mailer,Large flat items
Corrugated Box Small,150,100,75,5.91,3.94,2.95,International,Box,Small corrugated,Shipping
Corrugated Box Medium,254,178,127,10,7,5,International,Box,Medium corrugated,Packages
Corrugated Box Large,305,229,178,12,9,7,International,Box,Large corrugated,Large shipments
Gift Box Small,127,127,127,5,5,5,International,Box,Small gift box,Gifts, products
Gift Box Medium,152,152,152,6,6,6,International,Box,Medium gift box,Medium gifts
Gift Box Large,203,203,203,8,8,8,International,Box,Large gift box,Large gifts
Jewelry Box Small,50,50,30,1.97,1.97,1.18,International,Box,Small jewelry box,Jewelry
Jewelry Box Standard,76,76,38,3,3,1.5,International,Box,Standard jewelry box,Jewelry items
Hat Box Small,203,203,152,8,8,6,International,Box,Small hat box,Small items
Hat Box Large,254,254,203,10,10,8,International,Box,Large hat box,Large items
Pizza Box 10,254,254,51,10,10,2,International,Box,Small pizza box,Pizza
Pizza Box 12,305,305,51,12,12,2,International,Box,Medium pizza box,Standard pizza
Pizza Box 14,356,356,51,14,14,2,International,Box,Large pizza box,Large pizza
Pizza Box 16,406,406,51,16,16,2,International,Box,Extra large pizza box,Extra large pizza
Bakery Box 6x6x3,152,152,76,6,6,3,International,Box,Small bakery box,Pastries, cakes
Bakery Box 8x8x4,203,203,102,8,8,4,International,Box,Medium bakery box,Cakes, pastries
Bakery Box 10x10x5,254,254,127,10,10,5,International,Box,Large bakery box,Large cakes
Candle Box,100,100,127,3.94,3.94,5,International,Box,Tall box,Candles, bottles
Shipping Box Envelope,254,178,76,10,7,3,International,Box,Flat envelope box,Flat items
Tissue Box,127,76,76,5,3,3,International,Box,Tissue box size,Tissue packs
Wine Box Single,89,89,305,3.5,3.5,12,International,Box,Single wine bottle,Wine bottles
Wine Box Double,178,89,305,7,3.5,12,International,Box,Two wine bottles,Wine shipments
Wine Box 6-Pack,254,305,152,10,12,6,International,Box,Six wine bottles,Wine shipments
