format_name,width_mm,height_mm,width_inches,height_inches,aspect_ratio,country,category,description,common_use
Announcement Card,184,286,7.25,11.25,7.25:11.25,USA,Card,Large announcement format,Event announcements
Greeting Card,127,178,5,7,5:7,International,Card,Standard greeting card,Greeting cards
Folded Card,127,178,5,7,5:7,International,Card,Fold-in-half card,"Greeting cards, invitations"
Postcard Standard,102,152,4,6,4:6,International,Card,Standard postcard,"Postcards, marketing"
A6 Postcard,105,148,4.1,5.8,1:1.414,International,Card,ISO postcard size,Postcards
Booklet 8.5x5.5,139,216,5.5,8.5,5.5:8.5,USA,Booklet,Half-letter booklet,"Pamphlets, brochures"
Booklet 5x8.5,127,216,5,8.5,5:8.5,USA,Booklet,Vertical booklet,"Booklets, small brochures"
Trifold Brochure,89,254,3.5,10,3.5:10,USA,Brochure,Trifold format,"Brochures, marketing"
Bifold Brochure,254,216,10,8.5,10:8.5,USA,Brochure,Two-fold format,"Brochures, flyers"
Flyer Standard,216,280,8.5,11,8.5:11,USA,Flyer,Standard flyer,Promotional flyers
Half Sheet Flyer,140,216,5.5,8.5,5.5:8.5,USA,Flyer,Half page flyer,Small flyers
Quarter Sheet Flyer,140,108,5.5,4.25,5.5:4.25,USA,Flyer,Quarter page flyer,Mini flyers
Banner,304,914,12,36,12:36,International,Banner,Wide banner format,"Banners, signage"
Poster 18x24,457,610,18,24,18:24,USA,Poster,Standard poster size,"Posters, advertisements"
Poster 24x36,610,914,24,36,24:36,USA,Poster,Large poster size,"Large posters, promotional"
Roll Paper 24,610,3000,24,118,24:118,International,Roll,Roll format 24 inches,Large format printing
Roll Paper 36,914,3000,36,118,36:118,International,Roll,Roll format 36 inches,Technical drawings
