format_name,width_mm,height_mm,width_inches,height_inches,aspect_ratio,country,category,description,common_use
JIS B0,1030,1456,40.6,57.3,1:1.414,Japan,Standard,Largest B series paper,Large format printing
JIS B1,728,1030,28.7,40.6,1:1.414,Japan,Standard,Poster size,Posters, large documents
JIS B2,515,728,20.3,28.7,1:1.414,Japan,Standard,Large document,Large format documents
JIS B3,364,515,14.3,20.3,1:1.414,Japan,Standard,Medium document,Documents, brochures
JIS B4,257,364,10.1,14.3,1:1.414,Japan,Standard,Office paper,Office documents
JIS B5,182,257,7.2,10.1,1:1.414,Japan,Small,Notepad size,Notepads, booklets
JIS B6,128,182,5.0,7.2,1:1.414,Japan,Small,Postcard size,Postcards, cards
A4,210,297,8.3,11.7,1:1.414,Japan,International,ISO A4 size,Office documents
Shiroku Ban (4x6),101.6,152.4,4,6,4:6,Japan,Card,Small card size,Index cards, notes
Hagaki,100,148,3.94,5.83,100:148,Japan,Card,Postcard size,Postcards, greeting cards
Oufuku Hagaki,148,200,5.83,7.87,148:200,Japan,Card,Double postcard,Reply postcards
Meishi,85,55,3.35,2.17,85:55,Japan,Card,Business card,Business cards
Letter,215.9,279.4,8.5,11,8.5:11,Japan,Standard,U.S. Letter size,Foreign correspondence
Legal,215.9,355.6,8.5,14,8.5:14,Japan,Standard,U.S. Legal size,Extended documents
