format_name,width_mm,height_mm,width_inches,height_inches,aspect_ratio,country,category,description,common_use
Pocket Book,102,173,4,6.8,4:6.8,International,Book,Small portable book,Mass market paperbacks
Mass Market,106,171,4.17,6.75,4.17:6.75,International,Book,Standard paperback,"Novels, pocket books"
Trade Paperback,152,228,6,9,6:9,International,Book,Standard book size,"General fiction, non-fiction"
Digest,139,210,5.5,8.25,5.5:8.25,International,Book,Smaller book format,"Magazines, small books"
Royal,152,229,6,9,6:9,International,Book,Book size,"Books, textbooks"
Demy,139,216,5.5,8.5,5.5:8.5,International,Book,Traditional book size,Traditional books
Crown,127,203,5,8,5:8,International,Book,Smaller format,"Fiction, novels"
Large Print,152,229,6,9,6:9,International,Book,Enlarged text size,Books for visually impaired
Hardcover Standard,152,229,6,9,6:9,International,Book,Standard hardcover,"Hardcover books, textbooks"
Hardcover Jumbo,203,279,8,11,8:11,International,Book,Large hardcover,Large format books
Coffee Table,254,305,10,12,10:12,International,Book,Large decorative book,"Art books, photography"
Tall Hardcover,140,216,5.5,8.5,5.5:8.5,International,Book,Narrow hardcover,"Poetry, special editions"
A4 Size,210,297,8.3,11.7,1:1.414,International,Book,ISO A4 format,"Academic, large books"
A5 Size,148,210,5.8,8.3,1:1.414,International,Book,ISO A5 format,"Small books, notebooks"
B5 Size,176,250,6.9,9.8,1:1.414,International,Book,ISO B5 format,"Books, journals"
