format_name,iso_standard,iso_number,ansi_standard,ansi_number,jis_standard,jis_number,gb_standard,gb_number,din_standard,din_number,description,adoption_year,countries_count
A0,ISO 216,ISO 216-1,N/A,N/A,N/A,N/A,N/A,N/A,DIN 476,DIN 476-1,Largest ISO A series paper,1975,150+
A1,ISO 216,ISO 216-1,N/A,N/A,N/A,N/A,N/A,N/A,DIN 476,DIN 476-1,Large ISO paper poster,1975,150+
A2,ISO 216,ISO 216-1,N/A,N/A,N/A,N/A,N/A,N/A,DIN 476,DIN 476-1,ISO paper standard,1975,150+
A3,ISO 216,ISO 216-1,N/A,N/A,N/A,N/A,N/A,N/A,DIN 476,DIN 476-1,ISO paper standard ledger equivalent,1975,150+
A4,ISO 216,ISO 216-1,N/A,N/A,N/A,N/A,N/A,N/A,DIN 476,DIN 476-1,International standard office paper,1975,150+
A5,ISO 216,ISO 216-1,N/A,N/A,N/A,N/A,N/A,N/A,DIN 476,DIN 476-1,ISO paper small format,1975,150+
A6,ISO 216,ISO 216-1,N/A,N/A,N/A,N/A,N/A,N/A,DIN 476,DIN 476-1,Postcard size ISO standard,1975,150+
B4,ISO 216,ISO 216-1,N/A,N/A,JIS B4,JIS X 0202,N/A,N/A,DIN 476,DIN 476-2,ISO B series large,1975,150+
B5,ISO 216,ISO 216-1,N/A,N/A,JIS B5,JIS X 0202,N/A,N/A,DIN 476,DIN 476-2,ISO B series book size,1975,150+
C4,ISO 216,ISO 216-2,N/A,N/A,N/A,N/A,N/A,N/A,DIN 476,DIN 476-3,ISO envelope C series,1975,150+
C5,ISO 216,ISO 216-2,N/A,N/A,N/A,N/A,N/A,N/A,DIN 476,DIN 476-3,ISO envelope folded A4,1975,150+
Letter,N/A,N/A,ANSI Y14.1,ANSI Y14.1,N/A,N/A,N/A,N/A,N/A,N/A,USA standard office paper,1961,50+
Legal,N/A,N/A,ANSI Y14.1,ANSI Y14.1,N/A,N/A,N/A,N/A,N/A,N/A,USA legal size paper,1961,50+
Tabloid,N/A,N/A,ANSI Y14.1,ANSI Y14.1,N/A,N/A,N/A,N/A,N/A,N/A,USA ledger equivalent size,1961,50+
Executive,N/A,N/A,ANSI Y14.1,ANSI Y14.1,N/A,N/A,N/A,N/A,N/A,N/A,USA executive paper size,1961,50+
JIS B4,N/A,N/A,N/A,N/A,JIS B4,JIS X 0202,N/A,N/A,N/A,N/A,Japanese B series large,1951,Japan
JIS B5,N/A,N/A,N/A,N/A,JIS B5,JIS X 0202,N/A,N/A,N/A,N/A,Japanese B series book size,1951,Japan
Hagaki,N/A,N/A,N/A,N/A,Hagaki,JIS X 0303,N/A,N/A,N/A,N/A,Japanese postcard standard,1899,Japan
16K (Chinese),N/A,N/A,N/A,N/A,N/A,N/A,16K,GB/T 1999,N/A,N/A,Chinese book size 16K,1999,China
32K (Chinese),N/A,N/A,N/A,N/A,N/A,N/A,32K,GB/T 1999,N/A,N/A,Chinese book size 32K,1999,China
Carta (Letter),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mexican equivalent Letter size,Unknown,Mexico
Oficio,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mexican legal size (216x340 mm); shorter than US Legal,Unknown,Mexico
Crown,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,British book size traditional,1900,UK
Demy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,British book size traditional,1900,UK
Royal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,British book size traditional,1900,UK
Trade Paperback,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Standard book publishing size,1970,Publishing
Mass Market,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pocket book format standard,1950,Publishing
4x6,N/A,N/A,ANSI Photo,Photo Standard,N/A,N/A,N/A,N/A,N/A,N/A,Standard photo print size,1960,Photography
5x7,N/A,N/A,ANSI Photo,Photo Standard,N/A,N/A,N/A,N/A,N/A,N/A,Medium photo print size,1960,Photography
8x10,N/A,N/A,ANSI Photo,Photo Standard,N/A,N/A,N/A,N/A,N/A,N/A,Large photo print size,1960,Photography
Business Card Standard,ISO 216-2,ISO 216-2,N/A,N/A,N/A,N/A,N/A,N/A,DIN 476,DIN 476-3,Standard business card size,1975,150+
DL Envelope,ISO 216-2,ISO 216-2,N/A,N/A,N/A,N/A,N/A,N/A,DIN 476,DIN 476-3,Standard DL envelope,1975,150+
Envelope #10,N/A,N/A,ANSI X 4.27,ANSI X 4.27,N/A,N/A,N/A,N/A,N/A,N/A,USA standard business envelope,1961,50+
