adjective,severity,category
копеле,high,moral
аморален,high,moral
развален,high,moral
нечестен,high,moral
подъл,high,moral
развратен,high,moral
отвратителен,high,moral
мързелен,high,moral
непристоен,high,moral
неприличен,high,moral
извратен,high,moral
отровен,high,moral
издайник,high,moral
неверен,high,moral
лъжлив,high,moral
лъжив,high,moral
измамен,high,moral
неверен,high,moral
прелюбодеен,high,moral
сласттолюбив,high,moral
пожелтял,high,moral
разпуснат,high,moral
необуздан,high,moral
либертински,high,moral
необуздан,high,moral
безсрамен,high,moral
нахален,high,moral
дръзък,high,moral
груб,high,moral
груб,high,moral
вулгарен,high,moral
обикновен,high,moral
груб,high,moral
селски,high,moral
селски,high,moral
невежд,high,moral
неграмотен,high,moral
глупав,high,moral
тъп,high,moral
идиот,high,moral
отстанал,high,moral
слаб,high,moral
страхлив,high,moral
плашлив,high,moral
страхлив,high,moral
притворник,high,moral
свлечен,high,moral
покорен,high,moral
унизен,high,moral
срамен,high,moral
срамен,high,moral
безчестен,high,moral
позорящ,high,moral
позорящ,high,moral
подсмивающ,high,moral
подсмивающ,high,moral
сатиричен,high,moral
иронична,high,moral
язвителен,high,moral
едкостен,high,moral
саркастичен,high,moral
немилостив,high,moral
жестокост,high,moral
нечовешки,high,moral
дяволски,high,moral
сатански,high,moral
демоничен,high,moral
адски,high,moral
проклет,high,moral
проклет,high,moral
ужасен,high,moral
гнусен,high,moral
отвратителен,high,moral
отвратителен,high,moral
отвратителен,high,moral
смръдлив,high,moral
мръсен,high,moral
мръсен,high,moral
оскверен,high,moral
небрежен,high,moral
апатичен,high,moral
безразличен,high,moral
мързелив,high,moral
инертен,high,moral
деградирал,high,moral
развален,high,moral
нещастен,high,moral
злосчастен,high,moral
нещастен,high,moral
нещастен,high,moral
неударен,high,moral
нещастен,high,moral
нещастен,high,moral
развратен,high,moral
срамен,high,moral
