adjective,severity,category
nemanžel,high,moral
nemorální,high,moral
poškvrněný,high,moral
neupřímný,high,moral
nízký,high,moral
zvrácený,high,moral
odpudivý,high,moral
odporný,high,moral
obscénní,high,moral
nesličný,high,moral
zvrácený,high,moral
jedovatý,high,moral
zrádce,high,moral
neloajální,high,moral
falešný,high,moral
lhář,high,moral
klamavý,high,moral
nevěrný,high,moral
cizoložný,high,moral
rozpustilý,high,moral
libidózní,high,moral
promiskuitní,high,moral
rozpustilý,high,moral
libertinský,high,moral
rozpouštěný,high,moral
nezvládnutý,high,moral
bezostyšný,high,moral
nestydatý,high,moral
smělý,high,moral
nestoudný,high,moral
hrubý,high,moral
vulgární,high,moral
běžný,high,moral
surový,high,moral
venkovský,high,moral
vesničan,high,moral
nevědomý,high,moral
negramotný,high,moral
hloupý,high,moral
hloupý,high,moral
idiot,high,moral
zaostalý,high,moral
slabý,high,moral
zbabělý,high,moral
strašlivý,high,moral
zbabělý,high,moral
plachý,high,moral
stydlivý,high,moral
stažený,high,moral
apatický,high,moral
ponížený,high,moral
zahanbený,high,moral
hanebný,high,moral
nebeští,high,moral
opovržlivý,high,moral
nevděčný,high,moral
posměšný,high,moral
vysmívající,high,moral
satirický,high,moral
ironický,high,moral
ostnatý,high,moral
leptavý,high,moral
sarcastický,high,moral
bezohledný,high,moral
kruté,high,moral
nelidský,high,moral
ďábelský,high,moral
satanský,high,moral
démonický,high,moral
peklený,high,moral
zatracovaný,high,moral
proklet,high,moral
strašný,high,moral
odporný,high,moral
odpudivý,high,moral
odpudivý,high,moral
ohavný,high,moral
páchnoucí,high,moral
špinavý,high,moral
špinavý,high,moral
znečištěný,high,moral
nedbalý,high,moral
apathický,high,moral
lhostejný,high,moral
líný,high,moral
netečný,high,moral
zlenivělý,high,moral
zmizelý,high,moral
nešťastný,high,moral
smolný,high,moral
nešťastný,high,moral
nešťastný,high,moral
v neštěstí,high,moral
nešťastný,high,moral
nešťastný,high,moral
zvrácený,high,moral
potupný,high,moral
