adjective,severity,category
bastard,high,moral
umoralsk,high,moral
korrupt,high,moral
uærlig,high,moral
gemyt,high,moral
depravavet,high,moral
frastødende,high,moral
væmmeligt,high,moral
uanstændig,high,moral
upassende,high,moral
pervers,high,moral
giftig,high,moral
forræder,high,moral
utro,high,moral
falsk,high,moral
løgnagtig,high,moral
vildledende,high,moral
utro,high,moral
ægtebruds,high,moral
liderlig,high,moral
vellystig,high,moral
promiskuøs,high,moral
udsvævende,high,moral
libertinsk,high,moral
tankeløs,high,moral
utøjlet,high,moral
fræk,high,moral
skamløs,high,moral
dristig,high,moral
uhøflig,high,moral
grov,high,moral
vulgær,high,moral
almindelig,high,moral
råt,high,moral
landsbylig,high,moral
landmand,high,moral
uvidende,high,moral
analfabet,high,moral
dum,high,moral
tosset,high,moral
idiot,high,moral
tilbagestående,high,moral
svag,high,moral
fejg,high,moral
bange,high,moral
fej,high,moral
sky,high,moral
indesluttet,high,moral
kuet,high,moral
ydmyget,high,moral
skamfuld,high,moral
skamfuld,high,moral
vanæret,high,moral
æresrørende,high,moral
utilstedeligt,high,moral
håneligt,high,moral
håner,high,moral
satirisk,high,moral
ironisk,high,moral
bittert,high,moral
ætsende,high,moral
sarkastisk,high,moral
ubarmhjertig,high,moral
grusom,high,moral
umenneskelig,high,moral
djævelsk,high,moral
satanisk,high,moral
dæmonisk,high,moral
infernalsk,high,moral
fordømt,high,moral
forbandet,high,moral
forfærdelig,high,moral
afskyeligt,high,moral
vederstydeligt,high,moral
vederstydeligt,high,moral
afskyeligt,high,moral
stinkende,high,moral
snavset,high,moral
snavset,high,moral
tilsølet,high,moral
forsømt,high,moral
apathisk,high,moral
ligegyldig,high,moral
doven,high,moral
inert,high,moral
lænslidt,high,moral
forfaldet,high,moral
ulykkelig,high,moral
skæbnesvanger,high,moral
ulykkelig,high,moral
ulykkelig,high,moral
uheldig,high,moral
ulykkelig,high,moral
ulykkelig,high,moral
fordærvet,high,moral
skammeligt,high,moral
