adjective,severity,category
Bastard,high,moral
unmoralisch,high,moral
verdorben,high,moral
unehrlich,high,moral
gemein,high,moral
zügellos,high,moral
abscheulich,high,moral
ekel,high,moral
obszön,high,moral
unanständig,high,moral
verdreht,high,moral
giftig,high,moral
Verräter,high,moral
untreu,high,moral
falsch,high,moral
lügenhaft,high,moral
betrügerisch,high,moral
untreu,high,moral
ehebrecherisch,high,moral
obszön,high,moral
wollüstig,high,moral
promiskuitiv,high,moral
liederlich,high,moral
libertinisch,high,moral
zügellos,high,moral
ungezügelt,high,moral
frech,high,moral
unverschämt,high,moral
dreist,high,moral
unverschämt,high,moral
unanständig,high,moral
vulgär,high,moral
gewöhnlich,high,moral
grob,high,moral
bäuerisch,high,moral
Landmann,high,moral
unwissend,high,moral
Analphabet,high,moral
dumm,high,moral
schwachsinnig,high,moral
Idiot,high,moral
geistig behindert,high,moral
schwach,high,moral
feige,high,moral
ängstlich,high,moral
mutlos,high,moral
zaghaft,high,moral
schüchtern,high,moral
gehemmt,high,moral
unterwürfig,high,moral
erniedrigt,high,moral
schande,high,moral
schande,high,moral
ehrlos,high,moral
entehrend,high,moral
schimpf,high,moral
spottend,high,moral
höhnend,high,moral
satirisch,high,moral
ironisch,high,moral
beißend,high,moral
ätzend,high,moral
sarkastisch,high,moral
unerbittlich,high,moral
grausam,high,moral
unmenschlich,high,moral
teuflisch,high,moral
satanisch,high,moral
dämonisch,high,moral
höllisch,high,moral
verdammt,high,moral
verflucht,high,moral
schrecklich,high,moral
verabscheuungswürdig,high,moral
abscheulich,high,moral
abscheulich,high,moral
abstoßend,high,moral
übelriechend,high,moral
unrein,high,moral
schmutzig,high,moral
verdreckt,high,moral
nachlässig,high,moral
apathisch,high,moral
gleichgültig,high,moral
faul,high,moral
träge,high,moral
erbärmlich,high,moral
senile,high,moral
arm,high,moral
unglücklich,high,moral
unglücklich,high,moral
unglücklich,high,moral
unfortuniert,high,moral
unglücklich,high,moral
unglücklich,high,moral
verdorben,high,moral
nefas,high,moral
