adjective,severity,category
νόθος,high,moral
ανήθικος,high,moral
διεφθαρμένος,high,moral
ανέντιμος,high,moral
μάταιος,high,moral
διεφθαρμένος,high,moral
απωθητικός,high,moral
αποκρουστικός,high,moral
άσεμνος,high,moral
απρέπης,high,moral
διεστραμμένος,high,moral
δηλητηριώδης,high,moral
προδότης,high,moral
άπιστος,high,moral
ψευδής,high,moral
ψεύτης,high,moral
απατηλός,high,moral
άπιστος,high,moral
μοιχικός,high,moral
ασελγής,high,moral
σαρκικός,high,moral
σκολιός,high,moral
ακόλαστος,high,moral
λιβερτίνος,high,moral
ακράτητος,high,moral
ανιδεών,high,moral
θρασύς,high,moral
τολμηρός,high,moral
αγροίκος,high,moral
αγροίκος,high,moral
βάναυσος,high,moral
χυδαίος,high,moral
άγριος,high,moral
αγροτικός,high,moral
χωρικός,high,moral
αγροίκος,high,moral
άμαθος,high,moral
αναλφάβητος,high,moral
ανόητος,high,moral
ηλίθιος,high,moral
ηλίθιος,high,moral
καθυστερημένος,high,moral
αδύναμος,high,moral
δειλός,high,moral
φοβητός,high,moral
δειλός,high,moral
ντροπαλός,high,moral
ενδιάθετος,high,moral
υπάκουος,high,moral
ταπεινωμένος,high,moral
έντρομος,high,moral
αισχρός,high,moral
αποδοκιμαστέος,high,moral
άτιμος,high,moral
αισχρός,high,moral
αισχρός,high,moral
χλευαστής,high,moral
χλευαστής,high,moral
σατυρικός,high,moral
ειρωνικός,high,moral
δηκτικός,high,moral
διαβρωτικός,high,moral
σαρκαστικός,high,moral
σκληρός,high,moral
σκληρός,high,moral
ανθρώπινος,high,moral
διαβολικός,high,moral
σατανικός,high,moral
δαιμονικός,high,moral
κολασιακός,high,moral
κατάρατος,high,moral
κατάρατος,high,moral
φοβερός,high,moral
αποστυγητός,high,moral
αποστυγητός,high,moral
αποστυγητός,high,moral
αποστυγητός,high,moral
δυσοσμής,high,moral
λερωμένος,high,moral
λερωμένος,high,moral
μολυσμένος,high,moral
αμελής,high,moral
αδιάφορος,high,moral
αδιάφορος,high,moral
τεμπέλης,high,moral
αδρανής,high,moral
εκφυλισμένος,high,moral
χαλασμένος,high,moral
δυστυχής,high,moral
δυστυχής,high,moral
δυστυχής,high,moral
δυστυχής,high,moral
άτυχος,high,moral
δυστυχής,high,moral
δυστυχής,high,moral
διεφθαρμένος,high,moral
αισχρός,high,moral
