adjective,severity,category
bastard,high,moral
immoral,high,moral
corrupt,high,moral
dishonest,high,moral
vile,high,moral
depraved,high,moral
repugnant,high,moral
loathsome,high,moral
obscene,high,moral
indecent,high,moral
perverted,high,moral
poisonous,high,moral
traitor,high,moral
disloyal,high,moral
false,high,moral
lying,high,moral
deceptive,high,moral
unfaithful,high,moral
adulterous,high,moral
lecherous,high,moral
lustful,high,moral
promiscuous,high,moral
licentious,high,moral
libertine,high,moral
unbridled,high,moral
shameless,high,moral
impudent,high,moral
bold,high,moral
rude,high,moral
coarse,high,moral
vulgar,high,moral
ordinary,high,moral
rough,high,moral
rustic,high,moral
peasant,high,moral
ignorant,high,moral
illiterate,high,moral
stupid,high,moral
idiotic,high,moral
idiot,high,moral
retarded,high,moral
weak,high,moral
cowardly,high,moral
fearful,high,moral
cowardly,high,moral
shy,high,moral
withdrawn,high,moral
subservient,high,moral
humiliated,high,moral
ashamed,high,moral
shameful,high,moral
dishonorable,high,moral
shameful,high,moral
shameful,high,moral
mocking,high,moral
mocking,high,moral
satirical,high,moral
ironic,high,moral
biting,high,moral
caustic,high,moral
sarcastic,high,moral
merciless,high,moral
cruel,high,moral
inhuman,high,moral
devilish,high,moral
satanic,high,moral
demonic,high,moral
infernal,high,moral
damned,high,moral
damned,high,moral
horrible,high,moral
abhorrent,high,moral
abhorrent,high,moral
abhorrent,high,moral
abhorrent,high,moral
stinking,high,moral
dirty,high,moral
dirty,high,moral
soiled,high,moral
negligent,high,moral
apathetic,high,moral
indifferent,high,moral
lazy,high,moral
inert,high,moral
declining,high,moral
dilapidated,high,moral
unhappy,high,moral
unfortunate,high,moral
unhappy,high,moral
unhappy,high,moral
unlucky,high,moral
unhappy,high,moral
unhappy,high,moral
depraved,high,moral
shameful,high,moral
