adjective,severity,category,gender,number,person_relevance
bastardo,high,moral,neutro,singular,alta
bastarda,high,moral,femenino,singular,alta
bastardos,high,moral,masculino,plural,alta
bastardas,high,moral,femenino,plural,alta
inmoral,high,moral,neutro,singular,alta
inmorals,high,moral,masculino,plural,alta
corrupto,high,moral,neutro,singular,alta
corrupta,high,moral,femenino,singular,alta
corruptos,high,moral,masculino,plural,alta
corruptas,high,moral,femenino,plural,alta
deshonesto,high,moral,neutro,singular,alta
deshonesta,high,moral,femenino,singular,alta
deshonestos,high,moral,masculino,plural,alta
deshonestas,high,moral,femenino,plural,alta
vil,high,moral,neutro,singular,alta
vils,high,moral,masculino,plural,alta
despicable,high,moral,neutro,singular,alta
despicables,high,moral,masculino,plural,alta
perverso,high,moral,neutro,singular,alta
perversa,high,moral,femenino,singular,alta
perversos,high,moral,masculino,plural,alta
perversas,high,moral,femenino,plural,alta
abominable,high,moral,neutro,singular,alta
abominables,high,moral,masculino,plural,alta
repugnante,high,moral,neutro,singular,alta
repugnantes,high,moral,masculino,plural,alta
asqueroso,high,moral,neutro,singular,alta
asquerosa,high,moral,femenino,singular,alta
asquerosos,high,moral,masculino,plural,alta
asquerosas,high,moral,femenino,plural,alta
repulsivo,high,moral,neutro,singular,alta
repulsivos,high,moral,masculino,plural,alta
nauseabundo,high,moral,neutro,singular,alta
nauseabunda,high,moral,femenino,singular,alta
nauseabundos,high,moral,masculino,plural,alta
nauseabundas,high,moral,femenino,plural,alta
obsceno,high,moral,neutro,singular,alta
obscena,high,moral,femenino,singular,alta
obscenos,high,moral,masculino,plural,alta
obscenas,high,moral,femenino,plural,alta
indecente,high,moral,neutro,singular,alta
indecentes,high,moral,masculino,plural,alta
depravado,high,moral,neutro,singular,alta
depravada,high,moral,femenino,singular,alta
depravados,high,moral,masculino,plural,alta
depravadas,high,moral,femenino,plural,alta
libidinoso,high,moral,neutro,singular,alta
libidinosa,high,moral,femenino,singular,alta
libidinosos,high,moral,masculino,plural,alta
libidinosas,high,moral,femenino,plural,alta
lascivo,high,moral,neutro,singular,alta
lasciva,high,moral,femenino,singular,alta
lascivos,high,moral,masculino,plural,alta
lascivas,high,moral,femenino,plural,alta
lujurioso,high,moral,neutro,singular,alta
lujuriosa,high,moral,femenino,singular,alta
lujuriosos,high,moral,masculino,plural,alta
lujuriosas,high,moral,femenino,plural,alta
salaz,high,moral,neutro,singular,alta
salazs,high,moral,masculino,plural,alta
promiscuo,high,moral,neutro,singular,alta
promiscua,high,moral,femenino,singular,alta
promiscuos,high,moral,masculino,plural,alta
promiscuas,high,moral,femenino,plural,alta
adúltero,high,moral,neutro,singular,alta
adúltera,high,moral,femenino,singular,alta
adúlteros,high,moral,masculino,plural,alta
adúlteras,high,moral,femenino,plural,alta
infiel,high,moral,neutro,singular,alta
infiels,high,moral,masculino,plural,alta
traidor,high,moral,neutro,singular,alta
traidora,high,moral,femenino,singular,alta
traidors,high,moral,masculino,plural,alta
traidoras,high,moral,femenino,plural,alta
desleal,high,moral,neutro,singular,alta
desleals,high,moral,masculino,plural,alta
pérfido,high,moral,neutro,singular,alta
pérfida,high,moral,femenino,singular,alta
pérfidos,high,moral,masculino,plural,alta
pérfidas,high,moral,femenino,plural,alta
falso,high,moral,neutro,singular,media
falsa,high,moral,femenino,singular,media
falsos,high,moral,masculino,plural,media
falsas,high,moral,femenino,plural,media
mentiroso,high,moral,neutro,singular,alta
mentirosa,high,moral,femenino,singular,alta
mentirosos,high,moral,masculino,plural,alta
mentirosas,high,moral,femenino,plural,alta
embustero,high,moral,neutro,singular,alta
embustera,high,moral,femenino,singular,alta
embusteros,high,moral,masculino,plural,alta
embusteras,high,moral,femenino,plural,alta
farsante,high,moral,neutro,singular,alta
farsantes,high,moral,masculino,plural,alta
