adjective,severity,category,gender,number,person_relevance
bastardo,high,moral,neutro,singular,alta
bastarda,high,moral,femenino,singular,alta
bastardos,high,moral,masculino,plural,alta
bastardas,high,moral,femenino,plural,alta
inmoral,high,moral,neutro,singular,alta
inmorals,high,moral,masculino,plural,alta
corrupto,high,moral,neutro,singular,alta
corrupta,high,moral,femenino,singular,alta
corruptos,high,moral,masculino,plural,alta
corruptas,high,moral,femenino,plural,alta
deshonesto,high,moral,neutro,singular,alta
deshonesta,high,moral,femenino,singular,alta
deshonestos,high,moral,masculino,plural,alta
deshonestas,high,moral,femenino,plural,alta
vil,high,moral,neutro,singular,alta
viles,high,moral,masculino,plural,alta
vils,high,moral,femenino,plural,alta
despicable,high,moral,neutro,singular,alta
despicables,high,moral,masculino,plural,alta
perverso,high,moral,neutro,singular,alta
perversa,high,moral,femenino,singular,alta
perversos,high,moral,masculino,plural,alta
perversas,high,moral,femenino,plural,alta
abominable,high,moral,neutro,singular,media
abominables,high,moral,masculino,plural,media
repugnante,high,moral,neutro,singular,media
repugnantes,high,moral,masculino,plural,media
asqueroso,high,moral,neutro,singular,media
asquerosos,high,moral,masculino,plural,media
repulsivo,high,moral,neutro,singular,media
repulsivos,high,moral,masculino,plural,media
nauseabundo,high,moral,neutro,singular,media
nauseabundos,high,moral,masculino,plural,media
obsceno,high,moral,neutro,singular,media
obscena,high,moral,femenino,singular,media
obscenos,high,moral,masculino,plural,media
obscenas,high,moral,femenino,plural,media
indecente,high,moral,neutro,singular,media
indecentes,high,moral,masculino,plural,media
depravado,high,moral,neutro,singular,alta
depravada,high,moral,femenino,singular,alta
depravados,high,moral,masculino,plural,alta
depravadas,high,moral,femenino,plural,alta
libidinoso,high,moral,neutro,singular,media
libidinosa,high,moral,femenino,singular,media
libidinosos,high,moral,masculino,plural,media
libidinosas,high,moral,femenino,plural,media
lascivo,high,moral,neutro,singular,media
lasciva,high,moral,femenino,singular,media
lascivos,high,moral,masculino,plural,media
lascivas,high,moral,femenino,plural,media
lujurioso,high,moral,neutro,singular,media
lujuriosa,high,moral,femenino,singular,media
lujuriosos,high,moral,masculino,plural,media
lujuriosas,high,moral,femenino,plural,media
salaz,high,moral,neutro,singular,media
salazs,high,moral,masculino,plural,media
promiscuo,high,moral,neutro,singular,media
promiscua,high,moral,femenino,singular,media
promiscuos,high,moral,masculino,plural,media
promiscuas,high,moral,femenino,plural,media
adúltero,high,moral,neutro,singular,media
adúltera,high,moral,femenino,singular,media
adúlteros,high,moral,masculino,plural,media
adúlteras,high,moral,femenino,plural,media
infiel,high,moral,neutro,singular,media
infiels,high,moral,masculino,plural,media
traidor,high,moral,neutro,singular,alta
traidora,high,moral,femenino,singular,alta
traidors,high,moral,masculino,plural,alta
traidoras,high,moral,femenino,plural,alta
desleal,high,moral,neutro,singular,alta
desleals,high,moral,masculino,plural,alta
pérfido,high,moral,neutro,singular,alta
pérfida,high,moral,femenino,singular,alta
pérfidos,high,moral,masculino,plural,alta
pérfidas,high,moral,femenino,plural,alta
falso,high,moral,neutro,singular,media
falsa,high,moral,femenino,singular,media
falsos,high,moral,masculino,plural,media
falsas,high,moral,femenino,plural,media
mentiroso,high,moral,neutro,singular,alta
mentirosa,high,moral,femenino,singular,alta
mentirosos,high,moral,masculino,plural,alta
mentirosas,high,moral,femenino,plural,alta
embustero,high,moral,neutro,singular,alta
embustera,high,moral,femenino,singular,alta
embusteros,high,moral,masculino,plural,alta
embusteras,high,moral,femenino,plural,alta
farsante,high,moral,neutro,singular,media
farsantes,high,moral,masculino,plural,media
charlatán,high,moral,neutro,singular,media
charlatana,high,moral,femenino,singular,media
charlatáns,high,moral,masculino,plural,media
charlatanas,high,moral,femenino,plural,media
estafador,high,moral,neutro,singular,alta
estafadora,high,moral,femenino,singular,alta
