adjective,severity,category
syntypä,high,moral
epämoraalinen,high,moral
korruptoitunut,high,moral
epärehellinen,high,moral
häpeämätön,high,moral
turmeltunut,high,moral
iljettävä,high,moral
inhottava,high,moral
säädytön,high,moral
epäkunnollinen,high,moral
turmeltunut,high,moral
myrkyllinen,high,moral
pettäjä,high,moral
epäuskovainen,high,moral
valeellinen,high,moral
valehtelevaisuus,high,moral
petollisuus,high,moral
epäuskovainen,high,moral
aviorikollinen,high,moral
likainen,high,moral
himohimoinen,high,moral
seksuaalisesti väljä,high,moral
hillitön,high,moral
libertiinitty,high,moral
hillitön,high,moral
kurjittunut,high,moral
röyhkeä,high,moral
häpeämätön,high,moral
rohkea,high,moral
epäkohtelias,high,moral
karkea,high,moral
vulgaari,high,moral
tavallinen,high,moral
karkea,high,moral
maalaismies,high,moral
talonpoika,high,moral
tietämätön,high,moral
lukutaidoton,high,moral
tyhmä,high,moral
tyhmä,high,moral
idiootti,high,moral
kehitysvammainen,high,moral
heikko,high,moral
pelkuri,high,moral
pelkäävä,high,moral
hervoton,high,moral
ujo,high,moral
vetäytyvä,high,moral
alistunut,high,moral
nöyrä,high,moral
häpeän väri,high,moral
häpeällinen,high,moral
kunnattomuus,high,moral
häpeällistäminen,high,moral
pilkkaava,high,moral
pilkkaava,high,moral
satiirinen,high,moral
ironinen,high,moral
pistokas,high,moral
korrosiivinen,high,moral
sarkastinen,high,moral
laupias,high,moral
julma,high,moral
epäinhimillinen,high,moral
pirullinen,high,moral
saatanallinen,high,moral
demoniakallinen,high,moral
infernaalinen,high,moral
kiroutunut,high,moral
kiroutunut,high,moral
kauhistuttava,high,moral
halveksittava,high,moral
kauhistuttava,high,moral
kauhistuttava,high,moral
ilkeä,high,moral
likainen,high,moral
likaisuus,high,moral
epäsiisti,high,moral
huolimattomuus,high,moral
apateettinen,high,moral
välinpitämätön,high,moral
laiska,high,moral
inertia,high,moral
loukkaava,high,moral
rappeutunut,high,moral
onneton,high,moral
kohtalotappio,high,moral
onneton,high,moral
onneton,high,moral
epäonninen,high,moral
onneton,high,moral
onneton,high,moral
rappeutunut,high,moral
häpeällinen,high,moral
