adjective,severity,category
bâtard,high,moral
immoral,high,moral
corrompu,high,moral
malhonnête,high,moral
vil,high,moral
dépravé,high,moral
répugnant,high,moral
dégoûtant,high,moral
obscène,high,moral
indécent,high,moral
perverti,high,moral
vénéneux,high,moral
traître,high,moral
déloyal,high,moral
faux,high,moral
menteur,high,moral
trompeur,high,moral
infidèle,high,moral
adultère,high,moral
lascif,high,moral
lubrique,high,moral
promiscuité,high,moral
devoirs,high,moral
libertin,high,moral
dissolu,high,moral
débridé,high,moral
impudent,high,moral
effronté,high,moral
audacieux,high,moral
insolent,high,moral
grossier,high,moral
vulgaire,high,moral
ordinaire,high,moral
rustique,high,moral
rustique,high,moral
paysan,high,moral
ignorant,high,moral
analphabète,high,moral
stupide,high,moral
imbécile,high,moral
idiot,high,moral
arriéré,high,moral
faible,high,moral
lâche,high,moral
craintif,high,moral
pusillanime,high,moral
timoré,high,moral
timide,high,moral
rétracté,high,moral
apocope,high,moral
humilié,high,moral
honteux,high,moral
shamful,high,moral
infâme,high,moral
déshonorant,high,moral
opprobre,high,moral
moqueur,high,moral
blageur,high,moral
satirique,high,moral
ironique,high,moral
mordant,high,moral
caustique,high,moral
sarcastique,high,moral
impitoyable,high,moral
cruel,high,moral
inhumain,high,moral
diabolique,high,moral
satanique,high,moral
démoniaque,high,moral
infernal,high,moral
condamné,high,moral
maudit,high,moral
horrible,high,moral
détestable,high,moral
odieux,high,moral
abominable,high,moral
dégoutant,high,moral
nauséabond,high,moral
immonde,high,moral
sale,high,moral
crasseux,high,moral
négligent,high,moral
apathique,high,moral
indolent,high,moral
paresseux,high,moral
mou,high,moral
rapiat,high,moral
ramollo,high,moral
malheureux,high,moral
infortuné,high,moral
desventuré,high,moral
malheureux,high,moral
malchanceux,high,moral
malheureux,high,moral
maltraitant,high,moral
néfaste,high,moral
