adjective,severity,category
नाजायज,high,moral
अनैतिक,high,moral
भ्रष्ट,high,moral
बेईमान,high,moral
नीच,high,moral
पतित,high,moral
घृणास्पद,high,moral
जघन्य,high,moral
अश्लील,high,moral
अनुचित,high,moral
विकृत,high,moral
जहरीला,high,moral
विश्वासघाती,high,moral
बेवफा,high,moral
झूठा,high,moral
झूठा,high,moral
धोखेबाज़,high,moral
बेवफा,high,moral
व्यभिचारी,high,moral
कामुक,high,moral
सेक्सी,high,moral
व्यभिचारी,high,moral
अनियंत्रित,high,moral
स्वच्छंदतावादी,high,moral
अनियंत्रित,high,moral
बेशर्म,high,moral
आगे बढ़ने वाला,high,moral
साहसी,high,moral
असभ्य,high,moral
असभ्य,high,moral
असभ्य,high,moral
सामान्य,high,moral
कठोर,high,moral
ग्रामीण,high,moral
किसान,high,moral
अनपढ़,high,moral
निरक्षर,high,moral
मूर्ख,high,moral
बुद्धिहीन,high,moral
मूर्ख,high,moral
पिछड़ा,high,moral
कमजोर,high,moral
कायर,high,moral
डरपोक,high,moral
कायर,high,moral
शर्मीला,high,moral
अंतर्मुखी,high,moral
आज्ञाकारी,high,moral
अपमानित,high,moral
शर्मिंदा,high,moral
शर्मिंदा,high,moral
बेइज्जत,high,moral
अपमानजनक,high,moral
अपमानजनक,high,moral
मजाकिया,high,moral
मजाकिया,high,moral
व्यंग्य,high,moral
विडंबना,high,moral
तीव्र,high,moral
संक्षारक,high,moral
व्यंग्य,high,moral
निर्दय,high,moral
क्रूर,high,moral
अमानवीय,high,moral
शैतानी,high,moral
शैतानी,high,moral
राक्षसी,high,moral
नरकीय,high,moral
श्रापित,high,moral
श्रापित,high,moral
भयानक,high,moral
घृणित,high,moral
घृणित,high,moral
घृणित,high,moral
घृणित,high,moral
बदबूदार,high,moral
गंदा,high,moral
गंदा,high,moral
प्रदूषित,high,moral
लापरवाह,high,moral
उदासीन,high,moral
उदासीन,high,moral
आलसी,high,moral
निष्क्रिय,high,moral
गिरावट,high,moral
खंडहर,high,moral
दुर्भाग्यपूर्ण,high,moral
दुर्भाग्यपूर्ण,high,moral
दुर्भाग्यपूर्ण,high,moral
दुर्भाग्यपूर्ण,high,moral
भाग्यहीन,high,moral
दुर्भाग्यपूर्ण,high,moral
दुर्भाग्यपूर्ण,high,moral
पतित,high,moral
शर्मिंदा,high,moral
