adjective,severity,category
bastardo,high,moral
immorale,high,moral
corrotto,high,moral
disonesto,high,moral
vile,high,moral
depravato,high,moral
ripugnante,high,moral
stomachevole,high,moral
osceno,high,moral
indecente,high,moral
pervertito,high,moral
velenoso,high,moral
traditore,high,moral
sleale,high,moral
falso,high,moral
bugiardo,high,moral
ingannevole,high,moral
infedele,high,moral
adultero,high,moral
lascivo,high,moral
lussurioso,high,moral
promiscuo,high,moral
devoto,high,moral
libertino,high,moral
dissoluto,high,moral
sfrenato,high,moral
sfrontato,high,moral
spudorato,high,moral
audace,high,moral
insolente,high,moral
villano,high,moral
volgare,high,moral
ordinario,high,moral
rozzо,high,moral
rustico,high,moral
contadino,high,moral
ignorante,high,moral
analfabeta,high,moral
stupido,high,moral
imbecille,high,moral
idiota,high,moral
ritardato,high,moral
debole,high,moral
codardo,high,moral
pauroso,high,moral
pusillanime,high,moral
timido,high,moral
ritratto,high,moral
apocato,high,moral
umiliato,high,moral
vergognato,high,moral
vergognoso,high,moral
infame,high,moral
disonorevole,high,moral
opprimente,high,moral
beffeggiatore,high,moral
burione,high,moral
satirico,high,moral
ironico,high,moral
mordace,high,moral
caustico,high,moral
sarcastico,high,moral
spietato,high,moral
crudele,high,moral
disumano,high,moral
diabolico,high,moral
satanico,high,moral
demoniaco,high,moral
infernale,high,moral
condannato,high,moral
maledetto,high,moral
orribile,high,moral
detestabile,high,moral
odioso,high,moral
abominevole,high,moral
disgustoso,high,moral
nauseante,high,moral
immondo,high,moral
sporco,high,moral
lurido,high,moral
negligente,high,moral
apatico,high,moral
indolente,high,moral
pigro,high,moral
svogliato,high,moral
rognoso,high,moral
rammollito,high,moral
disgraziato,high,moral
sventurato,high,moral
disventurato,high,moral
infelice,high,moral
sfortunato,high,moral
disgraziato,high,moral
malridotto,high,moral
nefando,high,moral
