adjective,severity,category
私生児,high,moral
不道徳,high,moral
腐敗,high,moral
不正直,high,moral
卑劣,high,moral
堕落,high,moral
嫌悪感,high,moral
厭悪感,high,moral
猥褻,high,moral
ふさわしくない,high,moral
倒錯,high,moral
有毒,high,moral
裏切り者,high,moral
不忠実,high,moral
虚偽,high,moral
虚嘘,high,moral
詐欺的,high,moral
不忠実,high,moral
不貞,high,moral
好色,high,moral
エロい,high,moral
乱交,high,moral
奔放,high,moral
リベルタン,high,moral
奔放,high,moral
厚かましい,high,moral
厚かましい,high,moral
大胆,high,moral
粗悪,high,moral
粗悪,high,moral
みすぼらしい,high,moral
平凡,high,moral
無粋,high,moral
村落的,high,moral
農夫,high,moral
やたらと,high,moral
文盲,high,moral
バカ,high,moral
ばか者,high,moral
トンチンカン,high,moral
おくれている,high,moral
よわい,high,moral
おくびょう,high,moral
こわがり,high,moral
おくびょう,high,moral
はずかしがり屋,high,moral
ぐずの,high,moral
従順,high,moral
ぼんやり,high,moral
当惑,high,moral
当惑,high,moral
不名誉,high,moral
みんなか,high,moral
みんなか,high,moral
あざける,high,moral
あざけり,high,moral
風刺的,high,moral
皮肉な,high,moral
チクリ,high,moral
びりびり,high,moral
皮肉,high,moral
容赦ない,high,moral
残酷,high,moral
非人間的,high,moral
悪魔的,high,moral
サタンの,high,moral
悪魔的,high,moral
地獄の,high,moral
呪われた,high,moral
呪われた,high,moral
おぞましい,high,moral
忌むべき,high,moral
いやだ,high,moral
いやだ,high,moral
いやだ,high,moral
におう,high,moral
きたない,high,moral
きたない,high,moral
汚された,high,moral
きっと,high,moral
無関心,high,moral
あんまり,high,moral
怠け者,high,moral
つぶやき,high,moral
衰退,high,moral
朽ちた,high,moral
不幸,high,moral
不幸,high,moral
不幸,high,moral
不幸,high,moral
うんのない,high,moral
不幸,high,moral
不幸,high,moral
おぞましい,high,moral
恥ずかしい,high,moral
