adjective,severity,category
bastaard,high,moral
immoreel,high,moral
corrupt,high,moral
oneerlijk,high,moral
laag,high,moral
verworden,high,moral
weerzinwekkend,high,moral
weerzinwekkend,high,moral
onzedelijk,high,moral
ongepast,high,moral
pervers,high,moral
giftig,high,moral
verrader,high,moral
ontrouw,high,moral
vals,high,moral
leugenachtig,high,moral
bedrieglijk,high,moral
ontrouw,high,moral
overspel,high,moral
welllustig,high,moral
vlezig,high,moral
promiscuïteit,high,moral
losbandig,high,moral
libertijnse,high,moral
teugellos,high,moral
onbeschaamd,high,moral
onbeschaamd,high,moral
stoutmoedig,high,moral
grof,high,moral
grof,high,moral
vulgair,high,moral
ordinair,high,moral
ruw,high,moral
landelijk,high,moral
boer,high,moral
onwetend,high,moral
analfabeet,high,moral
dom,high,moral
idioot,high,moral
idioot,high,moral
achterlijk,high,moral
zwak,high,moral
lafaard,high,moral
bang,high,moral
lafaard,high,moral
schuw,high,moral
teruggetrokken,high,moral
onderdanig,high,moral
vernederd,high,moral
beschaamd,high,moral
beschaamd,high,moral
oneervolle,high,moral
eervormend,high,moral
eervormend,high,moral
spottend,high,moral
bespottend,high,moral
satirisch,high,moral
ironisch,high,moral
bijtend,high,moral
bijtend,high,moral
sarcastisch,high,moral
onbarmhartig,high,moral
wreed,high,moral
onmenselijk,high,moral
duivels,high,moral
satanisch,high,moral
demonisch,high,moral
infernaal,high,moral
vervloekt,high,moral
vervloekt,high,moral
afschuwelijk,high,moral
afschuwelijk,high,moral
afschuwelijk,high,moral
afschuwelijk,high,moral
stinkend,high,moral
vuil,high,moral
vuil,high,moral
bevuild,high,moral
nalatig,high,moral
apathisch,high,moral
onverschillig,high,moral
lui,high,moral
inert,high,moral
afgetakeld,high,moral
vervallen,high,moral
ongelukkig,high,moral
rampspoedig,high,moral
ongelukkig,high,moral
ongelukkig,high,moral
onfortunlijk,high,moral
ongelukkig,high,moral
ongelukkig,high,moral
verdorven,high,moral
eervormend,high,moral
