adjective,severity,category
bastard,high,moral
umoralsk,high,moral
korrupt,high,moral
uærlig,high,moral
gemyt,high,moral
depravert,high,moral
frastøtende,high,moral
ekkelt,high,moral
uanstendig,high,moral
usømmelig,high,moral
pervers,high,moral
giftig,high,moral
forræder,high,moral
utro,high,moral
falsk,high,moral
løgnaktig,high,moral
vildledende,high,moral
utro,high,moral
ekteskapsbrudd,high,moral
liderlig,high,moral
vel,high,moral
promiskuøs,high,moral
utsvevende,high,moral
libertinsk,high,moral
tankeløs,high,moral
utømt,high,moral
frekk,high,moral
skamløs,high,moral
dristig,high,moral
uhøflig,high,moral
grov,high,moral
vulgær,high,moral
alminnelig,high,moral
råt,high,moral
landsbyleik,high,moral
landmand,high,moral
uvidende,high,moral
analfabet,high,moral
dum,high,moral
tøsete,high,moral
idiot,high,moral
tilbakestående,high,moral
svak,high,moral
feig,high,moral
redd,high,moral
feig,high,moral
sjenert,high,moral
innestengt,high,moral
underkuet,high,moral
ydmyket,high,moral
skamfull,high,moral
skamfull,high,moral
vanæret,high,moral
æreskrenket,high,moral
upassende,high,moral
hånlig,high,moral
latter,high,moral
satirisk,high,moral
ironisk,high,moral
besk,high,moral
fretsende,high,moral
sarkastisk,high,moral
utholdelig,high,moral
grusom,high,moral
umenneskelig,high,moral
djevelsk,high,moral
satanisk,high,moral
demonisk,high,moral
infernalt,high,moral
fordømt,high,moral
forbannt,high,moral
forferdelig,high,moral
avskyelig,high,moral
vederstyggeleg,high,moral
vederstyggeleg,high,moral
avskyelig,high,moral
illeluktende,high,moral
skitten,high,moral
skitten,high,moral
tilskitnet,high,moral
forsømt,high,moral
apathisk,high,moral
likegyldig,high,moral
doven,high,moral
inert,high,moral
sløv,high,moral
forfalden,high,moral
uheldig,high,moral
ulykkelig,high,moral
uheldig,high,moral
uheldig,high,moral
uheldig,high,moral
uheldig,high,moral
uheldig,high,moral
fordårlig,high,moral
skammelig,high,moral
