adjective,severity,category
bękart,high,moral
niemoralny,high,moral
zepsuty,high,moral
nieuczciwą,high,moral
podły,high,moral
zdegenerowany,high,moral
odpychający,high,moral
wstrętny,high,moral
obscenicny,high,moral
niestosowny,high,moral
zboczenwy,high,moral
trujący,high,moral
zdrajca,high,moral
nielojalny,high,moral
fałszywy,high,moral
kłamliwy,high,moral
zwodniczy,high,moral
nielojalny,high,moral
dorosły,high,moral
rozpusta,high,moral
seksualny,high,moral
promiskuityzmu,high,moral
rozpustny,high,moral
libertynizm,high,moral
roznegliżowany,high,moral
niestosowny,high,moral
bezczelny,high,moral
odważny,high,moral
grubiańskisty,high,moral
gruby,high,moral
wulgarny,high,moral
zwyczajny,high,moral
surowy,high,moral
wiejski,high,moral
rolnik,high,moral
niewiedzący,high,moral
analfabeta,high,moral
głupy,high,moral
debilny,high,moral
idiota,high,moral
opóźniony,high,moral
słaby,high,moral
tchórzliwy,high,moral
bojaźliwy,high,moral
tchórzliwy,high,moral
nieśmiały,high,moral
zamknięty,high,moral
uległy,high,moral
poniżony,high,moral
zawstydzony,high,moral
zawstydzony,high,moral
bez honoru,high,moral
hańbiący,high,moral
hańbiący,high,moral
szydercze,high,moral
szydercze,high,moral
satyryczny,high,moral
ironiczny,high,moral
gryzący,high,moral
żrący,high,moral
sarkastyczny,high,moral
bez miłosierdzia,high,moral
okrutny,high,moral
nieludzkie,high,moral
diabelski,high,moral
szatański,high,moral
demoniczny,high,moral
piekielny,high,moral
przeklęty,high,moral
przeklęty,high,moral
straszny,high,moral
ohydny,high,moral
oburzający,high,moral
oburzający,high,moral
oburzający,high,moral
śmierdzący,high,moral
brudny,high,moral
brudny,high,moral
niesamowity,high,moral
zaniedbany,high,moral
apatyczny,high,moral
obojętny,high,moral
leniwy,high,moral
bierny,high,moral
zwinięty,high,moral
upadły,high,moral
nieszczęśliwy,high,moral
nieszczęśliwy,high,moral
nieszczęśliwy,high,moral
nieszczęśliwy,high,moral
niesprzyjający,high,moral
nieszczęśliwy,high,moral
nieszczęśliwy,high,moral
zdeprawowany,high,moral
hańbiący,high,moral
