adjective,severity,category
bastardo,high,moral
imoral,high,moral
corrompido,high,moral
desonesto,high,moral
vil,high,moral
depravado,high,moral
repugnante,high,moral
asqueroso,high,moral
obsceno,high,moral
indecente,high,moral
pervertido,high,moral
venenoso,high,moral
traidor,high,moral
desleal,high,moral
falso,high,moral
mentiroso,high,moral
enganoso,high,moral
infiel,high,moral
adúltero,high,moral
lascivo,high,moral
lujurioso,high,moral
promíscuo,high,moral
devasso,high,moral
libertino,high,moral
dissoluto,high,moral
desenfrenado,high,moral
descarado,high,moral
desavergonzado,high,moral
atrevido,high,moral
insolente,high,moral
grosero,high,moral
vulgar,high,moral
ordinário,high,moral
tosco,high,moral
rústico,high,moral
campesino,high,moral
ignorante,high,moral
analfabeto,high,moral
estúpido,high,moral
imbecil,high,moral
idiota,high,moral
retardado,high,moral
fraco,high,moral
covarde,high,moral
medroso,high,moral
pusilânime,high,moral
medroso,high,moral
tímido,high,moral
retraído,high,moral
apocado,high,moral
humilhado,high,moral
envergonhado,high,moral
envergonhoso,high,moral
infame,high,moral
desonroso,high,moral
oprobioso,high,moral
escarnecedor,high,moral
burlador,high,moral
satírico,high,moral
irónico,high,moral
mordaz,high,moral
cáustico,high,moral
sarcástico,high,moral
desapiedado,high,moral
cruel,high,moral
inumano,high,moral
diabólico,high,moral
satânico,high,moral
demoníaco,high,moral
infernal,high,moral
condenado,high,moral
maldito,high,moral
execrável,high,moral
detestável,high,moral
odioso,high,moral
abominável,high,moral
repugnante,high,moral
nauseabundo,high,moral
imundo,high,moral
sujo,high,moral
sujo,high,moral
porcalhão,high,moral
negligente,high,moral
apático,high,moral
indolente,high,moral
preguiçoso,high,moral
lâmina,high,moral
travesso,high,moral
malandro,high,moral
pícaro,high,moral
velhaço,high,moral
canalha,high,moral
réprobo,high,moral
perdido,high,moral
degenerado,high,moral
desventurado,high,moral
desditoso,high,moral
infeliz,high,moral
desafortunado,high,moral
desgraçado,high,moral
malogrado,high,moral
nefando,high,moral
