adjective,severity,category
bastard,high,moral
imoral,high,moral
corupt,high,moral
necinstit,high,moral
josnic,high,moral
depravat,high,moral
dezgustator,high,moral
respinge,high,moral
obscen,high,moral
nepotrivit,high,moral
inversat,high,moral
otravitor,high,moral
tradator,high,moral
neloial,high,moral
fals,high,moral
mincinog,high,moral
inselator,high,moral
neloial,high,moral
adulter,high,moral
lubric,high,moral
libidinoss,high,moral
promiscuu,high,moral
debridez,high,moral
libertinag,high,moral
necontrolat,high,moral
infrunt,high,moral
nemaipasator,high,moral
indráznet,high,moral
grosolan,high,moral
grosolan,high,moral
vulgar,high,moral
obisnuit,high,moral
brut,high,moral
satesc,high,moral
taranul,high,moral
taranul,high,moral
ignoran,high,moral
analfabet,high,moral
prost,high,moral
flegmatic,high,moral
idiot,high,moral
intarâtat,high,moral
slab,high,moral
fricanist,high,moral
fricos,high,moral
fricanist,high,moral
timiz,high,moral
retras,high,moral
supus,high,moral
umilit,high,moral
rusinos,high,moral
rusinos,high,moral
neconorabil,high,moral
cinstitorial,high,moral
cinstitorial,high,moral
batjocuitor,high,moral
batjocuitor,high,moral
satiric,high,moral
ironic,high,moral
taiaz,high,moral
corosiv,high,moral
sarcastic,high,moral
nemilostiv,high,moral
crâncen,high,moral
neumane,high,moral
diavolesc,high,moral
satanic,high,moral
demoniaca,high,moral
infernal,high,moral
blestem,high,moral
blestem,high,moral
teribil,high,moral
groaznic,high,moral
groaznic,high,moral
groaznic,high,moral
groaznic,high,moral
duhoarea,high,moral
murdar,high,moral
murdar,high,moral
murdărit,high,moral
neglijent,high,moral
apatic,high,moral
indiferent,high,moral
lenes,high,moral
inert,high,moral
slab,high,moral
cădut,high,moral
nenorecit,high,moral
nenorocit,high,moral
nenorocit,high,moral
nenorocit,high,moral
nenorocit,high,moral
nenorocit,high,moral
nenorocit,high,moral
depravat,high,moral
ruşinator,high,moral
