adjective,severity,category
ублюдок,high,moral
аморальный,high,moral
коррумпированный,high,moral
нечестный,high,moral
подлый,high,moral
развращённый,high,moral
отвратительный,high,moral
мерзкий,high,moral
непристойный,high,moral
неприличный,high,moral
извращённый,high,moral
ядовитый,high,moral
предатель,high,moral
неверный,high,moral
ложный,high,moral
лживый,high,moral
обманчивый,high,moral
неверный,high,moral
прелюбодейный,high,moral
похотливый,high,moral
похотливый,high,moral
распутный,high,moral
разнузданный,high,moral
либертинский,high,moral
неудержимый,high,moral
бесстыдный,high,moral
дерзкий,high,moral
смелый,high,moral
грубый,high,moral
грубый,high,moral
вульгарный,high,moral
обыкновенный,high,moral
сырой,high,moral
деревенский,high,moral
крестьянин,high,moral
невежественный,high,moral
неграмотный,high,moral
глупый,high,moral
простой,high,moral
идиот,high,moral
отсталый,high,moral
слабый,high,moral
трусливый,high,moral
боязливый,high,moral
трусливый,high,moral
застенчивый,high,moral
замкнутый,high,moral
подчиняющийся,high,moral
унижённый,high,moral
стыдный,high,moral
стыдный,high,moral
постыдный,high,moral
позорящий,high,moral
позорящий,high,moral
насмешливый,high,moral
насмешливый,high,moral
сатирический,high,moral
ироничный,high,moral
колющий,high,moral
едкий,high,moral
саркастический,high,moral
беспощадный,high,moral
жестокий,high,moral
бесчеловечный,high,moral
дьявольский,high,moral
сатанинский,high,moral
демонический,high,moral
адский,high,moral
проклятый,high,moral
проклятый,high,moral
ужасный,high,moral
мерзкий,high,moral
отвратительный,high,moral
отвратительный,high,moral
отвратительный,high,moral
вонючий,high,moral
грязный,high,moral
грязный,high,moral
запятнанный,high,moral
небрежный,high,moral
апатичный,high,moral
безразличный,high,moral
ленивый,high,moral
инертный,high,moral
приходящий в упадок,high,moral
разрушенный,high,moral
несчастный,high,moral
злосчастный,high,moral
несчастный,high,moral
несчастный,high,moral
неудачный,high,moral
несчастный,high,moral
несчастный,high,moral
развращённый,high,moral
позорный,high,moral
