adjective,severity,category
nelegitímny,high,moral
nemorálny,high,moral
skorumpovaný,high,moral
nepoctivy,high,moral
nízky,high,moral
depravovaný,high,moral
odpudzujúci,high,moral
odporný,high,moral
obscénny,high,moral
neslušný,high,moral
zvrátený,high,moral
jedovatý,high,moral
zradca,high,moral
neveriaci,high,moral
falošný,high,moral
klamavý,high,moral
klamavý,high,moral
neveriaci,high,moral
cudzoložný,high,moral
rozpustilý,high,moral
libidózny,high,moral
promiskuitný,high,moral
rozpustilý,high,moral
libertínsky,high,moral
rozpúšťajúci,high,moral
nespútaný,high,moral
bezstyšný,high,moral
nehanebný,high,moral
smely,high,moral
nestydatý,high,moral
hrubý,high,moral
vulgárny,high,moral
obyčajný,high,moral
hrubý,high,moral
vidieccký,high,moral
vidiek,high,moral
nevedomý,high,moral
negramotný,high,moral
hlúpy,high,moral
hlúpy,high,moral
idiot,high,moral
omeškaný,high,moral
slabý,high,moral
zbabelý,high,moral
hravy,high,moral
zbabelý,high,moral
plachý,high,moral
stydlivý,high,moral
stiahnutý,high,moral
apatický,high,moral
ponížený,high,moral
zahanbený,high,moral
hanebný,high,moral
zbožný,high,moral
pohrdavý,high,moral
vďačný,high,moral
posmešný,high,moral
zasmievací,high,moral
satiricky,high,moral
ironicky,high,moral
bodavý,high,moral
leptavý,high,moral
sarkasticky,high,moral
bezhraničný,high,moral
krutý,high,moral
neľudský,high,moral
diabotský,high,moral
satansky,high,moral
demonicky,high,moral
pekelný,high,moral
zatratený,high,moral
prekliatý,high,moral
hrozny,high,moral
odporný,high,moral
odpudzujúci,high,moral
odpudzujúci,high,moral
ohavny,high,moral
smrdiavy,high,moral
špinavý,high,moral
špinavý,high,moral
znečistený,high,moral
nedbalý,high,moral
apaticky,high,moral
lhostejny,high,moral
lenivý,high,moral
inertny,high,moral
zlenivly,high,moral
zmizly,high,moral
nešťastny,high,moral
smolny,high,moral
nešťastny,high,moral
nešťastny,high,moral
v nešťastí,high,moral
nešťastny,high,moral
nešťastny,high,moral
zvráteny,high,moral
hanebny,high,moral
