adjective,severity,category
bastardo,high,moral
inmoral,high,moral
corrupto,high,moral
deshonesto,high,moral
vil,high,moral
despicable,high,moral
perverso,high,moral
abominable,high,moral
repugnante,high,moral
asqueroso,high,moral
repulsivo,high,moral
nauseabundo,high,moral
obsceno,high,moral
indecente,high,moral
depravado,high,moral
libidinoso,high,moral
lascivo,high,moral
lujurioso,high,moral
salaz,high,moral
promiscuo,high,moral
adúltero,high,moral
infiel,high,moral
traidor,high,moral
desleal,high,moral
pérfido,high,moral
falso,high,moral
mentiroso,high,moral
embustero,high,moral
farsante,high,moral
charlatán,high,moral
estafador,high,moral
defraudador,high,moral
sinvergüenza,high,moral
descarado,high,moral
desvergonzado,high,moral
atrevido,high,moral
insolente,high,moral
grosero,high,moral
vulgar,high,moral
ordinario,high,moral
tosco,high,moral
basto,high,moral
gañán,high,moral
patán,high,moral
rústico,high,moral
campesino,high,moral
ignorante,high,moral
analfabeto,high,moral
estúpido,high,moral
idiota,high,moral
imbécil,high,moral
retrasado,high,moral
débil,high,moral
cobarde,high,moral
miedoso,high,moral
pusilánime,high,moral
medroso,high,moral
tímido,high,moral
retraído,high,moral
apocado,high,moral
encogido,high,moral
humillado,high,moral
avergonzado,high,moral
vergüenza,high,moral
bochornoso,high,moral
infame,high,moral
deshonroso,high,moral
deshonrante,high,moral
oprobioso,high,moral
escarnecedor,high,moral
burlador,high,moral
satírico,high,moral
irónico,high,moral
mordaz,high,moral
cáustico,high,moral
sarcástico,high,moral
despiadado,high,moral
cruel,high,moral
inhumano,high,moral
diabólico,high,moral
satánico,high,moral
demoníaco,high,moral
infernal,high,moral
condenado,high,moral
maldito,high,moral
execrable,high,moral
detestable,high,moral
aborrecible,high,moral
odioso,high,moral
repugnante,high,moral
asqueroso,high,moral
nauseabundo,high,moral
inmundo,high,moral
sucio,high,moral
mugriento,high,moral
cochino,high,moral
puerco,high,moral
marrano,high,moral
desaseado,high,moral
desaliñado,high,moral
andrajoso,high,moral
