adjective,severity,category
bastard,high,moral
omoral,high,moral
korrupt,high,moral
oärlig,high,moral
niding,high,moral
demoraliserad,high,moral
motbjudande,high,moral
vidrigt,high,moral
obscent,high,moral
ostyggt,high,moral
pervers,high,moral
giftigt,high,moral
förrädare,high,moral
otrogen,high,moral
falsk,high,moral
lögnaktig,high,moral
bedräglig,high,moral
otrogen,high,moral
äktenskapsbryteri,high,moral
liderlig,high,moral
vällystig,high,moral
promiskuös,high,moral
utsväfvande,high,moral
libertinsk,high,moral
tanklös,high,moral
otygglad,high,moral
fräck,high,moral
skamlos,high,moral
djärv,high,moral
ohöflig,high,moral
grov,high,moral
vulgär,high,moral
vanlig,high,moral
rå,high,moral
lantlig,high,moral
bonde,high,moral
okunnig,high,moral
analfabet,high,moral
dum,high,moral
redlös,high,moral
idiot,high,moral
efterbliven,high,moral
svag,high,moral
feg,high,moral
rädd,high,moral
feg,high,moral
blyg,high,moral
tillbakadragen,high,moral
underkuvad,high,moral
skamfylld,high,moral
skamfull,high,moral
vanärd,high,moral
äresrörande,high,moral
stötande,high,moral
spotande,high,moral
hånar,high,moral
satirisk,high,moral
ironisk,high,moral
bitande,high,moral
frätande,high,moral
sarkastisk,high,moral
obarmhärtig,high,moral
grym,high,moral
omänsklig,high,moral
djävulsk,high,moral
satanisk,high,moral
demonisk,high,moral
infernalsk,high,moral
förbannad,high,moral
förbannad,high,moral
fruktansvard,high,moral
vederstygglig,high,moral
vederstygglig,high,moral
vederstygglig,high,moral
stinkande,high,moral
smutsig,high,moral
smutsig,high,moral
befläckad,high,moral
försumlig,high,moral
apatisk,high,moral
likgiltig,high,moral
lat,high,moral
inert,high,moral
slolig,high,moral
förfallen,high,moral
olycklig,high,moral
skebnesvanger,high,moral
olycklig,high,moral
olycklig,high,moral
olycksalig,high,moral
olycklig,high,moral
olycklig,high,moral
fördärvad,high,moral
skändlig,high,moral
