adjective,severity,category
виродок,high,moral
аморальний,high,moral
корумпований,high,moral
нечесний,high,moral
підлий,high,moral
розбещений,high,moral
відразливий,high,moral
огидний,high,moral
непристойний,high,moral
неналежний,high,moral
звернений,high,moral
отруйний,high,moral
зрадник,high,moral
невірний,high,moral
хибний,high,moral
брехливий,high,moral
обманливий,high,moral
невірний,high,moral
прелюбодійний,high,moral
розпусний,high,moral
похотливий,high,moral
розпусний,high,moral
необузданий,high,moral
ліберальний,high,moral
необузданий,high,moral
безсоромний,high,moral
нахабний,high,moral
сміливий,high,moral
грубий,high,moral
грубий,high,moral
вульгарний,high,moral
звичайний,high,moral
чорнобривець,high,moral
селищний,high,moral
селянин,high,moral
темний,high,moral
неписьменний,high,moral
глупий,high,moral
ідіотський,high,moral
ідіот,high,moral
затримаємо,high,moral
слабий,high,moral
боягузливий,high,moral
комахи,high,moral
боягузливий,high,moral
сором'язливий,high,moral
замкнений,high,moral
покірний,high,moral
приниженний,high,moral
посоромлений,high,moral
посоромлений,high,moral
нечесний,high,moral
ганебний,high,moral
ганебний,high,moral
насміхатися,high,moral
насміхатися,high,moral
сатиричний,high,moral
іронічний,high,moral
палючий,high,moral
їдкий,high,moral
саркастичний,high,moral
беспощадний,high,moral
жорстокий,high,moral
нелюдський,high,moral
диявольський,high,moral
сатанинський,high,moral
демонічний,high,moral
адський,high,moral
проклятий,high,moral
проклятий,high,moral
жахливий,high,moral
огидний,high,moral
відразливий,high,moral
відразливий,high,moral
відразливий,high,moral
вонючий,high,moral
брудний,high,moral
брудний,high,moral
забруднений,high,moral
недбалий,high,moral
апатичний,high,moral
байдужий,high,moral
ледачий,high,moral
інертний,high,moral
наслідування,high,moral
розвалений,high,moral
нещасний,high,moral
нещасний,high,moral
нещасний,high,moral
нещасний,high,moral
невдалий,high,moral
нещасний,high,moral
нещасний,high,moral
розвернений,high,moral
ганебний,high,moral
